Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Secure System	Suspended	184 K	39,288 K	72		
Registry		40,664 K	147,388 K	132		
System Idle Process	39.48	60 K	8 K	0		
System	0.40	216 K	7,244 K	4		
 Interrupts	0.55	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,120 K	1,164 K	524		
 Memory Compression	< 0.01	1,664 K	443,324 K	3200		
csrss.exe	< 0.01	2,416 K	4,924 K	776		
wininit.exe		1,752 K	5,288 K	880		
 services.exe	< 0.01	8,696 K	15,132 K	952		
  svchost.exe	< 0.01	16,068 K	31,864 K	756	Windows 服务主进程	Microsoft Corporation
   WmiPrvSE.exe		16,288 K	30,368 K	4624		
   StartMenuExperienceHost.exe		61,556 K	119,736 K	8040		
   RuntimeBroker.exe	< 0.01	9,008 K	33,312 K	2588	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		9,632 K	35,872 K	8280	Runtime Broker	Microsoft Corporation
   LockApp.exe	Suspended	20,688 K	52,716 K	5216	LockApp.exe	Microsoft Corporation
   RuntimeBroker.exe		9,496 K	34,644 K	9292	Runtime Broker	Microsoft Corporation
   TextInputHost.exe	0.08	20,808 K	53,040 K	12964		Microsoft Corporation
   WmiPrvSE.exe		8,000 K	17,260 K	13076		
   ShellExperienceHost.exe	Suspended	36,776 K	66,088 K	14784	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		6,688 K	30,232 K	15160	Runtime Broker	Microsoft Corporation
   SearchApp.exe	Suspended	160,148 K	112,704 K	5888	Search application	Microsoft Corporation
   ApplicationFrameHost.exe		6,056 K	23,972 K	4144	Application Frame Host	Microsoft Corporation
